Kabupaten;jumlah_penduduk;total_sampah_ton;jumlah_truk;jumlah_motor;jumlah_tps;total_armada;sampah_perpenduduk;sampah_perarmada;sampah_pertps
bogor;5409.37;2173.05;11;265;167;276;0,000356926;7,873369565;13,01227545
sukabumi;2718.74;734.32;13;13;175;26;0,000297269;28,24307692;4,196114286
cianjur;2470.56;692.72;2;20;196;22;0,000305927;31,48727273;3,534285714
bandung;3616.54;661.72;37;18;194;55;0,000172705;12,03127273;3,410927835
garut;2577.35;794.22;11;31;145;42;0,000301225;18,91;5,47737931
tasikmalaya;1861.06;482.74;2;39;81;41;0,000274954;11,77414634;5,959753086
ciamis;1226.05;411.47;9;24;80;33;0,000342411;12,46878788;5,143375
kuningan;1162.59;394.49;6;10;191;16;0,000362881;24,655625;2,06539267
cirebon;2270.35;765.32;19;13;283;32;0,000346356;23,91625;2,704310954
majalengka;1301.57;310.9;7;17;175;24;0,000256792;12,95416667;1,776571429
sumedang;1149.47;263.88;8;21;126;29;0,000228581;9,099310345;2,094285714
indramayu;1829.23;732.24;34;35;215;69;0,000421403;10,61217391;3,405767442
subang;1605.25;746.96;12;42;121;54;0,000463209;13,83259259;6,17322314
purwakarta;994.33;283.43;9;11;62;20;0,000291628;14,1715;4,571451613
karawang;2434.09;677.34;21;18;112;39;0,000285739;17,36769231;6,047678571
bekasi;3101.73;1064.93;73;120;67;193;0,000273128;5,517772021;15,89447761
bandung barat;1782.19;826.78;9;9;89;18;0,000482093;45,93222222;9,289662921
pangandaran;422.41;183.63;6;3;29;9;0,000457368;20,40333333;6,332068966
