Kabupaten;jumlah_penduduk;total_sampah_ton;jumlah_truk;jumlah_motor;jumlah_tps;total_armada;sampah_perpenduduk;sampah_perarmada;sampah_pertps
bogor;5484.15;701;11;265;188;276;0,127822908;2,539855072;3,728723404
sukabumi;2747.45;261.2;13;13;188;26;0,095069974;10,04615385;1,389361702
cianjur;2500.64;223.8;2;24;191;26;0,089497089;8,607692308;1,171727749
bandung;3652.4;738.05;37;18;197;55;0,20207261;13,41909091;3,746446701
garut;2613.53;283.34;11;31;161;42;0,10841276;6,746190476;1,759875776
tasikmalaya;1876.89;111.12;2;39;100;41;0,059204322;2,710243902;1,1112
ciamis;1234.83;115.2;9;24;98;33;0,093292194;3,490909091;1,175510204
kuningan;1175.95;290.3;6;10;212;16;0,246864237;18,14375;1,369339623
cirebon;2301.33;170.15;19;13;301;32;0,073935507;5,3171875;0,565282392
majalengka;1315.01;329;7;17;200;24;0,250188211;13,70833333;1,645
sumedang;1159.26;503.02;8;21;141;29;0,433914739;17,34551724;3,56751773
indramayu;1851.73;545.5;34;35;225;69;0,294589384;7,905797101;2,424444444
subang;1620.7;535.5;12;42;136;54;0,330412785;9,916666667;3,9375
purwakarta;1008.93;170.16;9;14;81;23;0,16865392;7,39826087;2,100740741
karawang;2465.57;449.2;21;18;115;39;0,182189108;11,51794872;3,906086957
bekasi;3148.74;568.44;73;143;65;216;0,180529355;2,631666667;8,745230769
bandung barat;1808.42;144.8;9;29;91;38;0,080069895;3,810526316;1,591208791
pangandaran;425.59;29.7;11;3;29;14;0,069785474;2,121428571;1,024137931
